 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 722668 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 02:55 1.073  WFC   30.1  180  i                                
 722669 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 02:56 1.072  WFC   30.1  180  i                                
 722670 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 02:57 1.070  WFC   30.1  180  i                                
 722671 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 02:59 1.069  WFC   30.1  180  i                                
 722672 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:00 1.068  WFC   30.2  180  i                                
 722673 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 03:01 1.067  WFC   30.1  180  i                                
 722674 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:03 1.065  WFC   30.1  180  i                                
 722675 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:04 1.064  WFC   30.1  180  i                                
 722676 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:05 1.063  WFC   30.1  180  i                                
 722677 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:06 1.062  WFC   30.0  180  i                                
 722678 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:08 1.061  WFC   30.1  180  i                                
 722679 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 03:09 1.060  WFC   30.1  180  i                                
 722680 SDSS1329         13:29:25.20 +12:30:25.2  2000.00 03:10 1.059  WFC   30.1  180  i                                
 722681 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:12 1.058  WFC   30.1  180  i                                
 722682 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:13 1.057  WFC   30.1  180  i                                
 722683 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 03:14 1.056  WFC   30.1  180  i                                
 722684 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:16 1.055  WFC   30.2  180  i                                
 722685 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:17 1.054  WFC   30.1  180  i                                
 722686 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:18 1.053  WFC   30.1  180  i                                
 722687 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:20 1.052  WFC   30.0  180  i                                
 722688 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:21 1.051  WFC   30.1  180  i                                
 722689 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:22 1.051  WFC   30.1  180  i                                
 722690 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:24 1.050  WFC   30.1  180  i                                
 722691 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:25 1.049  WFC   29.5  180  i                                
 722692 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:26 1.049  WFC   30.1  180  i                                
 722693 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:27 1.048  WFC   30.1  180  i                                
 722694 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:29 1.047  WFC   30.1  180  i                                
 722695 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 03:30 1.047  WFC   30.1  180  i                                
 722696 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:31 1.046  WFC   30.1  180  i                                
 722697 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:33 1.046  WFC   30.1  180  i                                
 722698 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 03:34 1.045  WFC   30.1  180  i                                
 722699 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:35 1.045  WFC   30.1  180  i                                
