INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 25 05:55

TELESCOPE             INT
DATE                  20060724
OBSERVER/S            P. Groot
PROGRAMME             UVEX: The UV Excess survey of the Galactic Plane
PROPOSAL REF          N01
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           20:16
EVENING TWILIGHT (UT) 21:38
MORNING TWILIGHT (UT) 04:59
SUNRISE (UT)          06:21
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       07:21
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No Moon all night
MOONSET (UT)          No Moon all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           01:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
calima all night, clouds at the end of the night. Seeing: beginning 0.8, end 1.5

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517657 uvex_6373 U      21:04:41.34 +43:45:59.5 2000.00  00:28 1.099  WFC  119.5  180  U                                
 517658 uvex_6373 g      21:04:41.34 +43:45:59.4 2000.00  00:30 1.096  WFC   30.1  180  g                                
 517659 uvex_6373o He1   21:05:09.06 +43:50:59.5 2000.00  00:32 1.094  WFC  120.0  180  HeI 5870                         
 517660 uvex_6373o r     21:05:09.06 +43:50:59.5 2000.00  00:34 1.092  WFC   30.1  180  r                                
 517661 uvex_6373o U     21:05:09.06 +43:50:59.5 2000.00  00:35 1.089  WFC  119.5  180  U                                
 517662 uvex_6373o g     21:05:09.06 +43:50:59.4 2000.00  00:38 1.087  WFC   29.5  180  g                                
 517663 uvex_6374o He1   21:05:12.86 +48:14:59.7 2000.00  00:39 1.108  WFC  120.0  180  HeI 5870                         
 517664 uvex_6374o r     21:05:12.86 +48:14:59.4 2000.00  00:42 1.106  WFC   30.1  180  r                                
 517665 uvex_6374o U     21:05:12.86 +48:14:59.4 2000.00  00:43 1.104  WFC  120.0  180  U                                
 517666 uvex_6374o g     21:05:12.86 +48:14:59.4 2000.00  00:46 1.102  WFC   29.5  180  g                                
 517667 uvex_6375o He1   21:05:18.95 +45:18:59.4 2000.00  00:47 1.083  WFC  119.5  180  HeI 5870                         
 517668 uvex_6375o r     21:05:18.96 +45:18:59.5 2000.00  00:50 1.081  WFC   30.1  180  r                                
 517669 uvex_6375o U     21:05:18.96 +45:18:59.4 2000.00  00:51 1.079  WFC  119.5  180  U                                
 517670 uvex_6375o g     21:05:18.96 +45:18:59.4 2000.00  00:54 1.077  WFC   30.1  180  g                                
 517671 uvex_6378o He1   21:05:46.20 +52:16:59.8 2000.00  00:55 1.121  WFC  120.0  180  HeI 5870                         
 517672 uvex_6378o r     21:05:46.20 +52:16:59.4 2000.00  00:58 1.120  WFC   30.1  180  r                                
 517673 uvex_6378o U     21:05:46.20 +52:16:59.3 2000.00  00:59 1.118  WFC  119.5  180  U                                
 517674 uvex_6378o g     21:05:46.20 +52:16:59.3 2000.00  01:02 1.116  WFC   30.1  180  g                                
 517675 uvex_6379 He1    21:05:13.70 +50:10:59.5 2000.00  01:03 1.098  WFC  120.0  180  HeI 5870                         
