 562121 uvex_4629 U      19:11:46.39 +20:40:00.0 2000.00  03:00 1.040  WFC  120.0  180  U                                
 562122 uvex_4629 g      19:11:46.39 +20:39:59.7 2000.00  03:03 1.038  WFC   30.1  180  g                                
 562123 uvex_4629o He1   19:12:07.78 +20:44:59.8 2000.00  03:04 1.037  WFC  120.0  180  HeI 5870                         
 562124 uvex_4629o r     19:12:07.77 +20:44:59.9 2000.00  03:06 1.035  WFC   30.1  180  r                                
 562125 uvex_4629o U     19:12:07.77 +20:44:59.8 2000.00  03:07 1.033  WFC  120.0  180  U                                
 562126 uvex_4629o g     19:12:07.78 +20:44:59.9 2000.00  03:10 1.032  WFC   30.1  180  g                                
 562127 uvex_4630 He1    19:11:55.89 +19:11:59.7 2000.00  03:11 1.035  WFC  120.1  180  HeI 5870                         
 562128 uvex_4630 r      19:11:55.89 +19:11:59.8 2000.00  03:14 1.033  WFC   30.1  180  r                                
 562129 uvex_4630 U      19:11:55.89 +19:11:59.9 2000.00  03:15 1.032  WFC  120.0  180  U                                
 562130 uvex_4630 g      19:11:55.89 +19:11:59.9 2000.00  03:17 1.030  WFC   30.1  180  g                                
 562131 uvex_4630o He1   19:12:17.08 +19:16:59.9 2000.00  03:19 1.029  WFC  120.0  180  HeI 5870                         
 562132 uvex_4630o r     19:12:17.07 +19:16:59.9 2000.00  03:21 1.028  WFC   30.1  180  r                                
 562133 uvex_4630o U     19:12:17.08 +19:16:59.9 2000.00  03:22 1.026  WFC  120.0  180  U                                
 562134 uvex_4630o g     19:12:17.07 +19:16:59.9 2000.00  03:25 1.025  WFC   30.1  180  g                                
 562135 uvex_4631 He1    19:12:03.06 +17:43:59.9 2000.00  03:26 1.029  WFC  120.0  180  HeI 5870                         
 562136 uvex_4631 r      19:12:03.06 +17:43:59.9 2000.00  03:28 1.028  WFC   30.1  180  r                                
 562137 uvex_4631 U      19:12:03.05 +17:44:00.0 2000.00  03:30 1.027  WFC  119.6  180  U                                
 562138 uvex_4631 g      19:12:03.06 +17:44:00.0 2000.00  03:32 1.026  WFC   30.1  180  g                                
 562139 uvex_4631o He1   19:12:24.07 +17:49:00.0 2000.00  03:33 1.025  WFC  120.0  180  HeI 5870                         
 562140 uvex_4631o r     19:12:24.07 +17:49:00.0 2000.00  03:36 1.024  WFC   30.1  180  r                                
 562141 uvex_4631o U     19:12:24.07 +17:49:00.0 2000.00  03:37 1.023  WFC  120.0  180  U                                
 562142 uvex_4631o g     19:12:24.06 +17:49:00.0 2000.00  03:40 1.023  WFC   30.1  180  g                                
 562143 uvex_4632 He1    19:12:08.70 +16:15:59.8 2000.00  03:41 1.028  WFC  120.0  180  HeI 5870                         
 562144 uvex_4632 r      19:12:08.70 +16:15:59.9 2000.00  03:43 1.027  WFC   30.1  180  r                                
 562145 uvex_4632 U      19:12:08.70 +16:15:59.9 2000.00  03:44 1.027  WFC  120.0  180  U                                
 562146 uvex_4632 g      19:12:08.70 +16:16:00.0 2000.00  03:47 1.026  WFC   30.1  180  g                                
 562147 uvex_4632o He1   19:12:29.54 +16:21:00.0 2000.00  03:48 1.025  WFC  120.0  180  HeI 5870                         
