 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 623407 uvex_5308 r      19:47:51.26 +34:24:59.7  2000.00 02:24 1.013  WFC   30.1  180  r                                
 623408 uvex_5308 U      19:47:51.26 +34:24:59.7  2000.00 02:25 1.014  WFC  120.0  180  U                                
 623409 uvex_5308 g      19:47:51.26 +34:24:59.6  2000.00 02:27 1.015  WFC   30.1  180  g                                
 623410 uvex_5308o He1   19:48:15.54 +34:29:59.6  2000.00 02:28 1.016  WFC  179.9  180  HeI 5870                         
 623411 uvex_5308o r     19:48:15.54 +34:29:59.6  2000.00 02:32 1.018  WFC   30.1  180  r                                
 623412 uvex_5308o U     19:48:15.54 +34:29:59.6  2000.00 02:33 1.019  WFC  120.0  180  U                                
 623413 uvex_5308o g     19:48:15.53 +34:29:59.5  2000.00 02:36 1.020  WFC   30.1  180  g                                
 623414 uvex_5309 He1    19:47:51.27 +29:27:59.9  2000.00 02:37 1.018  WFC  180.0  180  HeI 5870                         
 623415 uvex_5309 r      19:47:51.26 +29:27:59.7  2000.00 02:41 1.019  WFC   30.1  180  r                                
 623416 uvex_5309 U      19:47:51.27 +29:27:59.7  2000.00 02:42 1.021  WFC  120.0  180  U                                
 623417 uvex_5309 g      19:47:51.26 +29:27:59.8  2000.00 02:44 1.022  WFC   30.1  180  g                                
 623418 uvex_5309o He1   19:48:14.26 +29:32:59.8  2000.00 02:45 1.024  WFC  180.0  180  HeI 5870                         
 623419 uvex_5309o r     19:48:14.26 +29:32:59.8  2000.00 02:49 1.026  WFC   30.1  180  r                                
 623420 uvex_5309o U     19:48:14.26 +29:32:59.8  2000.00 02:50 1.028  WFC  120.0  180  U                                
 623421 uvex_5309o g     19:48:14.25 +29:32:59.8  2000.00 02:53 1.029  WFC   30.1  180  g                                
 623422 uvex_5320 He1    19:48:32.26 +34:57:59.8  2000.00 02:54 1.036  WFC  179.4  180  HeI 5870                         
 623423 uvex_5320 r      19:48:32.27 +34:57:59.7  2000.00 02:57 1.038  WFC   30.1  180  r                                
 623424 uvex_5320 U      19:48:32.26 +34:57:59.6  2000.00 02:59 1.040  WFC  120.0  180  U                                
 623425 uvex_5320 g      19:48:32.26 +34:57:59.7  2000.00 03:01 1.042  WFC   30.1  180  g                                
 623426 uvex_5320o He1   19:48:56.70 +35:02:59.6  2000.00 03:02 1.044  WFC  180.0  180  HeI 5870                         
 623427 uvex_5320o r     19:48:56.69 +35:02:59.6  2000.00 03:06 1.047  WFC   30.1  180  r                                
 623428 uvex_5320o U     19:48:56.69 +35:02:59.7  2000.00 03:07 1.049  WFC  120.1  180  U                                
 623429 uvex_5320o g     19:48:56.69 +35:02:59.7  2000.00 03:09 1.051  WFC   30.1  180  g                                
