 458440 SKYFLAT O+       22:58:02.00 +00:05:30.1 2000.00  05:54 1.149  WFC   15.1  180  [OII]3727                        
 458441 SKYFLAT O+       22:58:01.99 +00:05:29.9 2000.00  05:55 1.150  WFC   40.1  180  [OII]3727                        
 458442 SKYFLAT O+       22:58:02.00 +00:05:29.9 2000.00  05:57 1.151  WFC   35.1  180  [OII]3727                        
 458443 SKYFLAT O+       22:58:04.00 +00:05:59.6 2000.00  05:59 1.152  WFC   21.1  180  [OII]3727                        
 458444 SKYFLAT O+       22:58:05.99 +00:06:30.0 2000.00  06:01 1.154  WFC   10.1  180  [OII]3727                        
 458445 SKYFLAT O+       22:58:08.00 +00:07:00.2 2000.00  06:02 1.154  WFC    7.1  180  [OII]3727                        
 458446 SKYFLAT O+       22:58:10.00 +00:07:30.2 2000.00  06:03 1.155  WFC    5.0  180  [OII]3727                        
 458447 SKYFLAT O+       22:58:12.00 +00:08:00.3 2000.00  06:04 1.156  WFC    4.5  180  [OII]3727                        
 458448 Bias              0:00:00.00 +00:00:00.0 2000.00  06:40 4.559  WFC    0.0  180  [OII]3727                        
 458449 Bias              0:00:00.00 +00:00:00.0 2000.00  06:42 4.559  WFC    0.0  180  [OII]3727                        
 458450 Bias              0:00:00.00 +00:00:00.0 2000.00  06:43 4.559  WFC    0.0  180  [OII]3727                        
 458451 Bias              0:00:00.00 +00:00:00.0 2000.00  06:43 4.559  WFC    0.0  180  [OII]3727                        
 458452 Bias              0:00:00.00 +00:00:00.0 2000.00  06:44 4.559  WFC    0.0  180  [OII]3727                        
 458453 Bias              0:00:00.00 +00:00:00.0 2000.00  06:44 4.559  WFC    0.0  180  [OII]3727                        
 458454 Bias              0:00:00.00 +00:00:00.0 2000.00  06:45 4.559  WFC    0.0  180  [OII]3727                        
 458455 Bias              0:00:00.00 +00:00:00.0 2000.00  06:46 4.559  WFC    0.0  180  [OII]3727                        
 458456 Bias              0:00:00.00 +00:00:00.0 2000.00  06:46 4.559  WFC    0.0  180  [OII]3727                        
 458457 Bias              0:00:00.00 +00:00:00.0 2000.00  06:47 4.559  WFC    0.0  180  [OII]3727                        
