INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 09 06:46

TELESCOPE             INT
DATE                  20060708
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    94
DARK TIME (HRS)       07:00
TWILIGHT TIME (HRS)   02:51
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:23

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for second half of night


TIME LOST weather           0`:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
poor seeing gave way to thin cloud gave way to thick cloud

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.60



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 512451 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:58 1.499  WFC   30.1  180  stromgren v                      
 512452 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  23:59 1.494  WFC   30.1  180  stromgren b                      
 512453 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:00 1.489  WFC   30.1  180  stromgren y                      
 512454 NGC7128 g        21:44:19.96 +53:43:59.5 2000.00  00:02 1.483  WFC   59.5  180  g                                
 512455 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  00:03 1.476  WFC   39.5  180  r                                
 512456 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  00:05 1.471  WFC   44.0  180  stromgren u                      
 512457 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:06 1.465  WFC   30.1  180  stromgren v                      
 512458 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:07 1.461  WFC   30.1  180  stromgren b                      
 512459 NGC7128 y        21:44:19.98 +53:43:59.9 2000.00  00:09 1.456  WFC   30.1  180  stromgren y                      
 512460 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:10 1.450  WFC   60.1  180  g                                
 512461 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  00:11 1.444  WFC   40.1  180  r                                
 512462 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  00:13 1.439  WFC   45.1  180  stromgren u                      
 512463 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  00:14 1.434  WFC   30.1  180  stromgren v                      
 512464 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  00:16 1.429  WFC   30.1  180  stromgren b                      
 512465 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  00:17 1.425  WFC   30.1  180  stromgren y                      
 512466 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  00:18 1.419  WFC   60.1  180  g                                
 512467 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  00:20 1.414  WFC   40.1  180  r                                
 512468 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:21 1.409  WFC   45.1  180  stromgren u                      
 512469 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  00:23 1.404  WFC   30.1  180  stromgren v                      
 512470 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:24 1.400  WFC   30.1  180  stromgren b                      
