 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517921 uvex_4145o U     18:41:58.24 +04:58:59.9 2000.00  23:38 1.093  WFC  119.5  180  U                                
 517922 uvex_4145o g     18:41:58.23 +04:59:00.0 2000.00  23:41 1.093  WFC   30.1  180  g                                
 517923 uvex_4150 He1    18:42:21.49 +03:59:00.0 2000.00  23:42 1.101  WFC  119.5  180  HeI 5870                         
 517924 uvex_4150 r      18:42:21.51 +03:58:59.9 2000.00  23:45 1.101  WFC   30.1  180  r                                
 517925 uvex_4150 U      18:42:21.50 +03:59:00.0 2000.00  23:46 1.102  WFC  120.1  180  U                                
 517926 uvex_4150 g      18:42:21.50 +03:59:00.0 2000.00  23:49 1.102  WFC   30.1  180  g                                
 517927 uvex_4150o He1   18:42:41.55 +04:04:00.0 2000.00  23:50 1.102  WFC  120.0  180  HeI 5870                         
 517928 uvex_4150o r     18:42:41.54 +04:04:00.0 2000.00  23:53 1.102  WFC   29.5  180  r                                
 517929 uvex_4150o U     18:42:41.55 +04:03:59.9 2000.00  23:54 1.103  WFC  120.0  180  U                                
 517930 uvex_4150o g     18:42:41.54 +04:04:00.0 2000.00  23:57 1.103  WFC   30.1  180  g                                
 517931 ST_L111_773 35s  19:37:15.60 +00:13:17.0 2000.00  23:59 1.151  WFC   35.1  180  HeI 5870                         
 517932 ST_L111_773 35s  19:37:15.60 +00:13:17.0 2000.00  00:02 1.149  WFC   35.1  180  U                                
 517933 ST_L111_773 5s r 19:37:15.60 +00:13:16.9 2000.00  00:05 1.147  WFC    4.5  180  r                                
 517934 ST_L111_773 5s g 19:37:15.60 +00:13:17.0 2000.00  00:07 1.146  WFC    5.1  180  g                                
 517935 uvex_6191o He1   20:48:55.10 +49:42:59.4 2000.00  00:10 1.128  WFC  120.0  180  HeI 5870                         
 517936 uvex_6191o r     20:48:55.11 +49:42:59.5 2000.00  00:13 1.126  WFC   30.1  180  r                                
 517937 uvex_6191o U     20:48:55.11 +49:42:59.4 2000.00  00:14 1.123  WFC  119.5  180  U                                
 517938 uvex_6191o g     20:48:55.11 +49:42:59.5 2000.00  00:17 1.121  WFC   30.1  180  g                                
 517939 uvex_6193 He1    20:48:44.62 +46:08:58.8 2000.00  00:18 1.097  WFC  120.0  180  HeI 5870                         
 517940 uvex_6193 r      20:48:44.63 +46:08:59.6 2000.00  00:21 1.095  WFC   30.1  180  r                                
 517941 uvex_6193 U      20:48:44.63 +46:08:59.5 2000.00  00:22 1.093  WFC  120.0  180  U                                
 517942 uvex_6193 g      20:48:44.63 +46:08:59.5 2000.00  00:25 1.091  WFC   30.1  180  g                                
 517943 uvex_6193o He1   20:49:13.54 +46:13:59.5 2000.00  00:26 1.089  WFC  119.5  180  HeI 5870                         
 517944 uvex_6193o r     20:49:13.53 +46:13:59.4 2000.00  00:28 1.087  WFC   30.1  180  r                                
 517945 uvex_6193o U     20:49:13.53 +46:13:59.4 2000.00  00:30 1.085  WFC  120.1  180  U                                
 517946 uvex_6193o g     20:49:13.53 +46:13:59.5 2000.00  00:32 1.083  WFC   30.1  180  g                                
 517947 uvex_6198o He1   20:49:35.26 +48:14:59.7 2000.00  00:34 1.094  WFC  120.0  180  HeI 5870                         
 517948 uvex_6198o r     20:49:35.26 +48:14:59.5 2000.00  00:36 1.092  WFC   30.1  180  r                                
 517949 uvex_6198o U     20:49:35.26 +48:14:59.4 2000.00  00:37 1.090  WFC  120.0  180  U                                
 517950 uvex_6198o g     20:49:35.26 +48:14:59.5 2000.00  00:40 1.089  WFC   30.1  180  g                                
 517951 uvex_6200 He1    20:49:06.16 +50:10:59.6 2000.00  00:41 1.100  WFC  120.0  180  HeI 5870                         
 517952 uvex_6200 r      20:49:06.15 +50:10:59.3 2000.00  00:44 1.098  WFC   30.1  180  r                                
 517953 uvex_6200 U      20:49:06.15 +50:10:59.3 2000.00  00:45 1.097  WFC  120.0  180  U                                
 517954 uvex_6200 g      20:49:06.15 +50:10:59.3 2000.00  00:48 1.095  WFC   30.1  180  g                                
 517955 uvex_6200o He1   20:49:37.44 +50:15:59.2 2000.00  00:49 1.095  WFC  120.0  180  HeI 5870                         
 517956 uvex_6200o r     20:49:37.44 +50:15:59.3 2000.00  00:52 1.093  WFC   30.1  180  r                                
 517957 uvex_6200o U     20:49:37.45 +50:15:59.3 2000.00  00:53 1.092  WFC  120.0  180  U                                
 517958 uvex_6200o g     20:49:37.44 +50:15:59.4 2000.00  00:56 1.091  WFC   30.1  180  g                                
 517959 uvex_6202 He1    20:49:33.48 +46:41:59.9 2000.00  00:57 1.066  WFC  119.5  180  HeI 5870                         
 517960 uvex_6202 r      20:49:33.47 +46:41:59.5 2000.00  00:59 1.065  WFC   30.0  180  r                                
 517961 uvex_6202 U      20:49:33.48 +46:41:59.4 2000.00  01:01 1.064  WFC  119.5  180  U                                
 517962 uvex_6202 g      20:49:33.48 +46:41:59.4 2000.00  01:03 1.063  WFC   29.5  180  g                                
 517963 uvex_6202o He1   20:50:02.69 +46:46:59.5 2000.00  01:05 1.062  WFC  120.0  180  HeI 5870                         
 517964 uvex_6202o r     20:50:02.69 +46:46:59.5 2000.00  01:07 1.061  WFC   30.1  180  r                                
 517965 uvex_6202o U     20:50:02.69 +46:46:59.4 2000.00  01:08 1.061  WFC  120.0  180  U                                
 517966 uvex_6202o g     20:50:02.69 +46:46:59.4 2000.00  01:11 1.060  WFC   30.1  180  g                                
 517967 uvex_6204 He1    20:49:45.29 +50:43:59.8 2000.00  01:12 1.085  WFC  119.5  180  HeI 5870                         
 517968 uvex_6204 r      20:49:45.28 +50:43:59.4 2000.00  01:15 1.084  WFC   30.1  180  r                                
 517969 uvex_6204 U      20:49:45.29 +50:43:59.3 2000.00  01:16 1.084  WFC  120.0  180  U                                
 517970 uvex_6204 g      20:49:45.28 +50:43:59.4 2000.00  01:19 1.083  WFC   30.1  180  g                                
 517971 Focus run        20:49:45.28 +50:43:59.4 2000.00  01:24 1.082  WFC    5.1  180  r                                
 517972 uvex_6204o He1   20:50:16.94 +50:48:59.7 2000.00  01:30 1.081  WFC  120.0  180  HeI 5870                         
 517973 uvex_6204o r     20:50:16.94 +50:48:59.3 2000.00  01:33 1.080  WFC   30.1  180  r                                
 517974 uvex_6204o U     20:50:16.94 +50:48:59.4 2000.00  01:34 1.080  WFC  120.0  180  U                                
 517975 uvex_6204o g     20:50:16.94 +50:48:59.3 2000.00  01:36 1.080  WFC   30.1  180  g                                
 517976 uvex_6206o He1   20:50:21.37 +48:47:59.2 2000.00  01:38 1.065  WFC  120.0  180  HeI 5870                         
 517977 uvex_6206o r     20:50:21.37 +48:47:59.5 2000.00  01:40 1.065  WFC   30.1  180  r                                
 517978 uvex_6206o U     20:50:21.38 +48:47:59.5 2000.00  01:41 1.065  WFC  120.0  180  U                                
 517979 uvex_6206o g     20:50:21.38 +48:47:59.5 2000.00  01:44 1.064  WFC   30.1  180  g                                
 517980 uvex_6207o He1   20:50:20.06 +45:18:59.5 2000.00  01:45 1.043  WFC  120.0  180  HeI 5870                         
 517981 uvex_6207o r     20:50:20.05 +45:18:59.4 2000.00  01:48 1.043  WFC   30.1  180  r                                
 517982 uvex_6207o U     20:50:20.05 +45:18:59.4 2000.00  01:49 1.043  WFC  120.0  180  U                                
 517983 uvex_6207o g     20:50:20.05 +45:18:59.2 2000.00  01:52 1.043  WFC   30.1  180  g                                
 517984 uvex_6212 He1    20:50:22.54 +47:14:59.2 2000.00  01:53 1.055  WFC  119.6  180  HeI 5870                         
 517985 uvex_6212 r      20:50:22.54 +47:14:59.4 2000.00  01:56 1.055  WFC   29.5  180  r                                
 517986 uvex_6212 U      20:50:22.54 +47:14:59.4 2000.00  01:57 1.055  WFC  120.0  180  U                                
 517987 uvex_6212 g      20:50:22.55 +47:14:59.6 2000.00  02:00 1.055  WFC   29.5  180  g                                
 517988 uvex_6212o He1   20:50:52.06 +47:19:59.6 2000.00  02:01 1.056  WFC  120.0  180  HeI 5870                         
 517989 uvex_6212o r     20:50:52.06 +47:19:59.5 2000.00  02:04 1.057  WFC   30.1  180  r                                
 517990 uvex_6212o U     20:50:52.06 +47:19:59.5 2000.00  02:05 1.057  WFC  120.0  180  U                                
 517991 uvex_6212o g     20:50:52.06 +47:19:59.5 2000.00  02:07 1.057  WFC   30.1  180  g                                
 517992 uvex_6213 He1    20:50:22.88 +51:16:59.7 2000.00  02:09 1.086  WFC  120.0  180  HeI 5870                         
 517993 uvex_6213 r      20:50:22.89 +51:16:59.4 2000.00  02:11 1.086  WFC   30.1  180  r                                
 517994 uvex_6213 U      20:50:22.89 +51:16:59.4 2000.00  02:12 1.087  WFC  119.5  180  U                                
 517995 uvex_6213 g      20:50:22.89 +51:16:59.3 2000.00  02:15 1.087  WFC   29.5  180  g                                
 517996 uvex_6213o He1   20:50:54.92 +51:21:59.4 2000.00  02:16 1.089  WFC  120.0  180  HeI 5870                         
 517997 uvex_6213o r     20:50:54.91 +51:21:59.4 2000.00  02:19 1.089  WFC   30.1  180  r                                
 517998 uvex_6213o U     20:50:54.92 +51:21:59.3 2000.00  02:20 1.090  WFC  120.0  180  U                                
 517999 uvex_6213o g     20:50:54.91 +51:21:59.2 2000.00  02:23 1.091  WFC   30.1  180  g                                
 518000 uvex_6215 He1    20:50:35.61 +49:15:59.1 2000.00  02:24 1.077  WFC  119.5  180  HeI 5870                         
 518001 uvex_6215 r      20:50:35.61 +49:15:59.5 2000.00  02:27 1.078  WFC   30.0  180  r                                
