INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 13 07:21

TELESCOPE             INT
DATE                  20060712
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:45
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    95
DARK TIME (HRS)       07:05
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         21:39
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
40 km/h winds all night but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
slight problems early on due  possibly to power supply (generator rather than mains) affecting tracking and pointing



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514106 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  00:12 1.384  WFC   50.1  180  stromgren u                      
 514107 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  00:14 1.379  WFC   40.1  180  stromgren v                      
 514108 NGC7128 b        21:44:06.50 +53:38:59.9 2000.00  00:15 1.375  WFC   29.5  180  stromgren b                      
 514109 NGC7128 y        21:44:06.49 +53:38:59.9 2000.00  00:16 1.371  WFC   30.1  180  stromgren y                      
 514110 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  00:17 1.367  WFC   59.5  180  g                                
 514111 NGC7128 r        21:44:06.50 +53:38:59.9 2000.00  00:19 1.362  WFC   29.5  180  r                                
 514112 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  00:20 1.358  WFC   50.1  180  stromgren u                      
 514113 NGC7128 v        21:44:06.50 +53:38:59.9 2000.00  00:22 1.353  WFC   40.1  180  stromgren v                      
 514114 NGC7128 b        21:44:06.50 +53:39:00.0 2000.00  00:23 1.349  WFC   30.1  180  stromgren b                      
 514115 NGC7128 y        21:44:06.50 +53:38:59.9 2000.00  00:24 1.346  WFC   30.1  180  stromgren y                      
 514116 NGC7128 g        21:44:06.50 +53:38:59.9 2000.00  00:26 1.342  WFC   60.0  180  g                                
 514117 NGC7128 r        21:44:06.50 +53:39:00.0 2000.00  00:27 1.337  WFC   30.1  180  r                                
 514118 NGC7128 u        21:44:06.50 +53:38:59.9 2000.00  00:29 1.333  WFC   50.1  180  stromgren u                      
 514119 NGC7128 v        21:44:06.49 +53:38:59.9 2000.00  00:30 1.329  WFC   40.1  180  stromgren v                      
