 509819 uvex_5833o r     20:21:20.93 +38:53:59.5 2000.00  01:45 1.069  WFC   30.1  180  r                                
 509820 uvex_5833o U     20:21:20.93 +38:53:59.6 2000.00  01:46 1.066  WFC  120.0  180  U                                
 509821 uvex_5833o g     20:21:20.92 +38:53:59.6 2000.00  01:49 1.064  WFC   30.1  180  g                                
 509822 uvex_5837o He1   20:21:35.05 +42:22:59.9 2000.00  01:50 1.074  WFC  120.0  180  HeI 5870                         
 509823 uvex_5837o r     20:21:35.05 +42:22:59.7 2000.00  01:53 1.072  WFC   30.1  180  r                                
 509824 uvex_5837o U     20:21:35.05 +42:22:59.6 2000.00  01:54 1.069  WFC  120.1  180  U                                
 509825 uvex_5837o g     20:21:35.06 +42:22:59.7 2000.00  01:57 1.067  WFC   30.1  180  g                                
 509826 uvex_5841o He1   20:21:55.84 +40:54:59.4 2000.00  01:58 1.060  WFC  119.5  180  HeI 5870                         
 509827 uvex_5841o r     20:21:55.84 +40:54:59.6 2000.00  02:01 1.058  WFC   30.1  180  r                                
 509828 uvex_5841o U     20:21:55.84 +40:54:59.6 2000.00  02:02 1.056  WFC  120.0  180  U                                
 509829 uvex_5841o g     20:21:55.84 +40:54:59.5 2000.00  02:04 1.054  WFC   29.6  180  g                                
 509830 uvex_5843o He1   20:22:09.89 +39:26:59.4 2000.00  02:06 1.048  WFC  120.0  180  HeI 5870                         
 509831 uvex_5843o r     20:22:09.88 +39:26:59.5 2000.00  02:08 1.046  WFC   30.1  180  r                                
 509832 uvex_5843o U     20:22:09.89 +39:26:59.5 2000.00  02:09 1.044  WFC  119.5  180  U                                
 509833 uvex_5843o g     20:22:09.88 +39:26:59.5 2000.00  02:12 1.043  WFC   30.1  180  g                                
 509834 uvex_5847o He1   20:22:16.38 +37:58:59.5 2000.00  02:13 1.037  WFC  120.0  180  HeI 5870                         
 509835 uvex_5847o r     20:22:16.39 +37:58:59.5 2000.00  02:16 1.035  WFC   30.1  180  r                                
 509836 uvex_5847o U     20:22:16.39 +37:58:59.6 2000.00  02:17 1.034  WFC  119.5  180  U                                
 509837 uvex_5847o g     20:22:16.39 +37:58:59.6 2000.00  02:20 1.032  WFC   30.1  180  g                                
 509838 uvex_5848o He1   20:22:19.67 +42:55:59.7 2000.00  02:21 1.049  WFC  120.0  180  HeI 5870                         
 509839 uvex_5848o r     20:22:19.67 +42:55:59.6 2000.00  02:24 1.047  WFC   30.1  180  r                                
 509840 uvex_5848o U     20:22:19.67 +42:55:59.6 2000.00  02:25 1.046  WFC  120.1  180  U                                
 509841 uvex_5848o g     20:22:19.66 +42:55:59.6 2000.00  02:28 1.045  WFC   30.1  180  g                                
 509842 uvex_5850o He1   20:22:26.04 +44:56:59.6 2000.00  02:29 1.053  WFC  120.1  180  HeI 5870                         
 509843 uvex_5850o r     20:22:26.05 +44:56:59.5 2000.00  02:32 1.052  WFC   30.1  180  r                                
 509844 uvex_5850o U     20:22:26.05 +44:56:59.4 2000.00  02:33 1.051  WFC  120.0  180  U                                
 509845 uvex_5850o g     20:22:26.05 +44:56:59.5 2000.00  02:35 1.050  WFC   30.1  180  g                                
 509846 uvex_5971o He1   20:31:17.02 +46:02:59.6 2000.00  02:37 1.060  WFC  120.0  180  HeI 5870                         
 509847 uvex_5971o r     20:31:17.02 +46:02:59.5 2000.00  02:39 1.059  WFC   30.1  180  r                                
 509848 uvex_5971o U     20:31:17.01 +46:02:59.4 2000.00  02:41 1.058  WFC  120.0  180  U                                
 509849 uvex_5971o g     20:31:17.02 +46:02:59.5 2000.00  02:43 1.057  WFC   30.1  180  g                                
 509850 uvex_5975 He1    20:31:11.15 +36:36:59.5 2000.00  02:45 1.019  WFC  120.0  180  HeI 5870                         
 509851 uvex_5975 r      20:31:11.16 +36:36:59.6 2000.00  02:47 1.018  WFC   30.1  180  r                                
 509852 uvex_5975 U      20:31:11.16 +36:36:59.6 2000.00  02:49 1.017  WFC  120.0  180  U                                
 509853 uvex_5975 g      20:31:11.16 +36:36:59.7 2000.00  02:51 1.016  WFC   30.1  180  g                                
 509854 uvex_5976o He1   20:31:39.75 +41:05:59.7 2000.00  02:52 1.029  WFC  120.0  180  HeI 5870                         
 509855 uvex_5976o r     20:31:39.74 +41:05:59.5 2000.00  02:55 1.029  WFC   30.1  180  r                                
 509856 uvex_5976o U     20:31:39.74 +41:05:59.6 2000.00  02:56 1.028  WFC  120.1  180  U                                
 509857 uvex_5976o g     20:31:39.74 +41:05:59.5 2000.00  02:59 1.027  WFC   30.1  180  g                                
 509858 uvex_5977 He1    20:31:16.94 +38:04:59.6 2000.00  03:00 1.016  WFC  119.0  180  HeI 5870                         
 509859 uvex_5977 r      20:31:16.94 +38:04:59.7 2000.00  03:03 1.016  WFC   30.1  180  r                                
 509860 uvex_5977 U      20:31:16.94 +38:04:59.6 2000.00  03:04 1.015  WFC  120.0  180  U                                
 509861 uvex_5977 g      20:31:16.94 +38:04:59.6 2000.00  03:07 1.015  WFC   30.1  180  g                                
 509862 uvex_5978 He1    20:31:18.14 +39:32:59.7 2000.00  03:08 1.019  WFC  120.0  180  HeI 5870                         
 509863 uvex_5978 r      20:31:18.14 +39:32:59.6 2000.00  03:11 1.019  WFC   30.1  180  r                                
 509864 uvex_5978 U      20:31:18.13 +39:32:59.5 2000.00  03:12 1.019  WFC  120.0  180  U                                
 509865 uvex_5978 g      20:31:18.14 +39:32:59.5 2000.00  03:15 1.018  WFC   29.5  180  g                                
 509866 uvex_5978o He1   20:31:44.10 +39:37:59.6 2000.00  03:16 1.019  WFC  120.1  180  HeI 5870                         
 509867 uvex_5978o r     20:31:44.11 +39:37:59.5 2000.00  03:18 1.018  WFC   30.1  180  r                                
 509868 uvex_5978o U     20:31:44.10 +39:37:59.6 2000.00  03:20 1.018  WFC  120.0  180  U                                
 509869 uvex_5978o g     20:31:44.11 +39:37:59.5 2000.00  03:22 1.018  WFC   30.1  180  g                                
