 563039 intphas_5620 r   20:06:35.15 +25:03:59.8 2000.00  03:35 1.040  WFC   29.5  180  r                                
 563040 intphas_5620 i   20:06:35.16 +25:03:59.7 2000.00  03:36 1.039  WFC    9.6  180  i                                
 563041 intphas_5620o Ha 20:06:57.25 +25:08:59.9 2000.00  03:37 1.038  WFC  120.0  180  Halpha                           
 563042 intphas_5620o r  20:06:57.24 +25:08:59.8 2000.00  03:39 1.036  WFC   30.1  180  r                                
 563043 intphas_5620o i  20:06:57.24 +25:08:59.7 2000.00  03:40 1.035  WFC   10.1  180  i                                
 563044 intphas_5623 Ha  20:06:43.78 +26:32:00.1 2000.00  03:41 1.031  WFC  120.0  180  Halpha                           
 563045 intphas_5623 r   20:06:43.78 +26:31:59.8 2000.00  03:44 1.029  WFC   29.5  180  r                                
 563046 intphas_5623 i   20:06:43.79 +26:31:59.9 2000.00  03:45 1.028  WFC   10.1  180  i                                
 563047 intphas_5623o Ha 20:07:06.17 +26:36:59.8 2000.00  03:45 1.027  WFC  119.5  180  Halpha                           
 563048 intphas_5623o r  20:07:06.15 +26:36:59.9 2000.00  03:48 1.025  WFC   30.0  180  r                                
 563049 intphas_5623o i  20:07:06.16 +26:36:59.7 2000.00  03:49 1.025  WFC   10.1  180  i                                
 563050 intphas_5631 Ha  20:07:15.50 +24:09:00.0 2000.00  03:50 1.026  WFC  120.0  180  Halpha                           
 563051 intphas_5631 r   20:07:15.51 +24:08:59.9 2000.00  03:53 1.025  WFC   30.1  180  r                                
 563052 intphas_5631 i   20:07:15.50 +24:08:59.9 2000.00  03:54 1.024  WFC   10.1  180  i                                
 563053 intphas_5631o Ha 20:07:37.44 +24:13:59.8 2000.00  03:54 1.023  WFC  120.0  180  Halpha                           
 563054 intphas_5631o r  20:07:37.43 +24:13:59.8 2000.00  03:57 1.021  WFC   30.1  180  r                                
 563055 intphas_5631o i  20:07:37.44 +24:14:00.0 2000.00  03:58 1.021  WFC   10.1  180  i                                
 563056 intphas_5634 Ha  20:07:24.84 +25:37:00.0 2000.00  03:59 1.017  WFC  120.0  180  Halpha                           
