 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 536252 uvex_2404o U      5:24:57.85 +29:32:59.7 2000.00  00:46 1.074  WFC  120.0  180  U                                
 536253 uvex_2404o g      5:24:57.85 +29:32:59.8 2000.00  00:49 1.071  WFC   30.1  180  g                                
 536254 uvex_2406 He1     5:24:49.07 +27:59:59.7 2000.00  00:50 1.068  WFC  120.0  180  HeI 5870                         
 536255 uvex_2406 r       5:24:49.07 +27:59:59.8 2000.00  00:54 1.064  WFC   30.1  180  r                                
 536256 uvex_2406 U       5:24:49.07 +27:59:59.7 2000.00  00:55 1.061  WFC  120.0  180  U                                
 536257 uvex_2406 g       5:24:49.06 +27:59:59.9 2000.00  00:58 1.058  WFC   30.0  180  g                                
 536258 uvex_2406o He1    5:25:11.74 +28:04:59.7 2000.00  00:59 1.056  WFC  120.0  180  HeI 5870                         
 536259 uvex_2406o r      5:25:11.74 +28:04:59.8 2000.00  01:01 1.053  WFC   30.1  180  r                                
 536260 uvex_2406o U      5:25:11.74 +28:04:59.7 2000.00  01:03 1.051  WFC  120.0  180  U                                
 536261 uvex_2406o g      5:25:11.73 +28:04:59.7 2000.00  01:06 1.048  WFC   30.1  180  g                                
 536262 uvex_2413 He1     5:25:07.03 +31:28:59.9 2000.00  01:07 1.045  WFC  120.0  180  HeI 5870                         
 536263 uvex_2413 r       5:25:07.04 +31:28:59.7 2000.00  01:10 1.043  WFC   30.0  180  r                                
 536264 uvex_2413 U       5:25:07.04 +31:28:59.7 2000.00  01:11 1.041  WFC  120.0  180  U                                
 536265 uvex_2413 g       5:25:07.04 +31:28:59.6 2000.00  01:14 1.038  WFC   30.1  180  g                                
 536266 uvex_2413o He1    5:25:30.50 +31:33:59.7 2000.00  01:15 1.037  WFC  120.0  180  HeI 5870                         
 536267 uvex_2413o r      5:25:30.51 +31:33:59.7 2000.00  01:18 1.035  WFC   30.1  180  r                                
 536268 uvex_2413o U      5:25:30.50 +31:33:59.8 2000.00  01:19 1.033  WFC  120.0  180  U                                
 536269 uvex_2413o g      5:25:30.50 +31:33:59.7 2000.00  01:22 1.031  WFC   30.1  180  g                                
 536270 uvex_2414 He1     5:25:17.87 +30:00:59.8 2000.00  01:23 1.028  WFC  120.0  180  HeI 5870                         
 536271 uvex_2414 r       5:25:17.88 +30:00:59.8 2000.00  01:26 1.026  WFC   30.1  180  r                                
 536272 uvex_2414 U       5:25:17.87 +30:00:59.9 2000.00  01:27 1.025  WFC  120.0  180  U                                
 536273 uvex_2414 g       5:25:17.88 +30:00:59.8 2000.00  01:30 1.023  WFC   30.1  180  g                                
 536274 uvex_2414o He1    5:25:40.99 +30:05:59.8 2000.00  01:31 1.021  WFC  120.0  180  HeI 5870                         
 536275 uvex_2414o r      5:25:40.99 +30:05:59.7 2000.00  01:34 1.020  WFC   30.1  180  r                                
 536276 uvex_2414o U      5:25:41.00 +30:05:59.8 2000.00  01:35 1.018  WFC  120.0  180  U                                
 536277 uvex_2414o g      5:25:41.00 +30:05:59.8 2000.00  01:37 1.017  WFC   30.1  180  g                                
 536278 uvex_2416 He1     5:25:30.95 +28:32:59.8 2000.00  01:39 1.015  WFC  120.1  180  HeI 5870                         
 536279 uvex_2416 r       5:25:30.96 +28:32:59.8 2000.00  01:42 1.014  WFC   30.1  180  r                                
 536280 uvex_2416 U       5:25:30.96 +28:32:59.7 2000.00  01:43 1.013  WFC  120.0  180  U                                
 536281 uvex_2416 g       5:25:30.96 +28:32:59.8 2000.00  01:45 1.012  WFC   30.1  180  g                                
 536282 uvex_2416o He1    5:25:53.75 +28:37:59.8 2000.00  01:47 1.011  WFC  120.0  180  HeI 5870                         
 536283 uvex_2416o r      5:25:53.75 +28:37:59.8 2000.00  01:49 1.010  WFC   30.1  180  r                                
 536284 uvex_2416o U      5:25:53.75 +28:37:59.8 2000.00  01:51 1.009  WFC  119.5  180  U                                
 536285 uvex_2416o g      5:25:53.74 +28:37:59.8 2000.00  01:53 1.008  WFC   30.1  180  g                                
