# col1     col2  col3 col4       col5    col6    col7    col8    col9    col10   col11   col12   col13   col14   col15  
  sep2003  0657  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0657o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0658  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0658o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0660  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0660o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0663  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0663o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0665  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0665o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0666  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0666o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0667  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0667o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0668  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0668o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0669  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0669o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0677  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0677o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0678  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0678o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0679  1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  sep2003  0679o 1 2003-09-16 24.53   23.89   21.39   24.53   23.89   21.39   0.0     0.0     0.0     0.64    3.14   
  nov2003  0710  1 2003-11-01 24.52   23.9    21.38   24.5    23.88   21.36   -0.02   -0.02   -0.02   0.62    3.14   
